event_id,match_code,round,team_key,is_home,xg_raw,xg_weighted,xg_reduction_pct,n_shots,n_decided,xg_level,xg_d2,xg_d3plus
15526018,JRpscJu,4,cuiaba,False,0.4254,0.4254,0.0,11,0,0.4254,0.0,0.0
15526019,bPslP,4,ceara,True,1.5608,1.5608,0.0,10,0,1.5608,0.0,0.0
15526019,bPslP,4,nautico,False,0.8015,0.8015,0.0,15,0,0.8015,0.0,0.0
15526020,xPsoWc,4,atletico-go,True,2.7101,2.7101,0.0,17,0,2.7101,0.0,0.0
15526020,xPsoWc,4,londrina,False,0.4401,0.3831,12.9,6,1,0.3261,0.114,0.0
15526021,EOsJO,4,criciuma,True,1.6268,1.6268,0.0,12,0,1.6268,0.0,0.0
15526021,EOsJO,4,botafogo-sp,False,0.6538,0.6538,0.0,12,0,0.6538,0.0,0.0
15526022,jOspWc,4,sport,True,3.4539,3.4539,0.0,21,0,3.4539,0.0,0.0
15526022,jOspWc,4,avai,False,1.7949,1.7949,0.0,16,0,1.7949,0.0,0.0
15526023,HPisAfMc,4,clube-de-regatas-brasil,True,1.5283,1.5283,0.0,11,0,1.5283,0.0,0.0
15526023,HPisAfMc,4,athletic-club,False,1.6744,1.6005,4.4,12,1,1.5266,0.1478,0.0
15526024,kOsFO,4,juventude,True,0.5466,0.4602,15.8,10,2,0.3739,0.1727,0.0
15526024,kOsFO,4,goias,False,0.2845,0.2594,8.8,5,2,0.2343,0.0503,0.0
15526025,EOsoWc,5,botafogo-sp,True,1.0184,1.0184,0.0,12,0,1.0184,0.0,0.0
15526025,EOsoWc,5,atletico-go,False,1.2352,1.2352,0.0,10,0,1.2352,0.0,0.0
15526026,okebsAfMc,5,novorizontino,True,1.9873,1.9873,0.0,20,0,1.9873,0.0,0.0
15526026,okebsAfMc,5,athletic-club,False,0.7887,0.7887,0.0,7,0,0.7887,0.0,0.0
15526027,jOsyO,5,america-mg,True,1.2596,1.2596,0.0,17,0,1.2596,0.0,0.0
15526027,jOsyO,5,sport,False,0.3517,0.3517,0.0,9,0,0.3517,0.0,0.0
15526028,bPsxP,5,londrina,True,1.0483,1.0483,0.0,18,0,1.0483,0.0,0.0
15526028,bPsxP,5,ceara,False,1.1222,1.1222,0.0,13,0,1.1222,0.0,0.0
15526029,JOsvP,5,fortaleza,True,0.5518,0.5518,0.0,14,0,0.5518,0.0,0.0
15526029,JOsvP,5,criciuma,False,0.8462,0.8462,0.0,6,0,0.8462,0.0,0.0
15526030,kOscJu,5,goias,True,0.288,0.2036,29.3,8,3,0.1192,0.1688,0.0
15526030,kOscJu,5,cuiaba,False,1.3935,1.3935,0.0,11,0,1.3935,0.0,0.0
15526031,uOspWc,5,avai,True,0.6454,0.6454,0.0,12,0,0.6454,0.0,0.0
15526031,uOspWc,5,ponte-preta,False,2.3878,2.3878,0.0,12,0,2.3878,0.0,0.0
15526032,lPseau,5,nautico,True,2.239,2.2121,1.2,18,2,2.2032,0.0,0.0358
15526032,lPseau,5,sao-bernardo,False,1.4549,1.4086,3.2,11,3,1.3753,0.0535,0.0261
15526033,FOsHPi,5,clube-de-regatas-brasil,True,1.1717,1.1717,0.0,15,0,1.1717,0.0,0.0
15526033,FOsHPi,5,juventude,False,1.4604,1.4604,0.0,8,0,1.4604,0.0,0.0
15526034,wPsJRp,5,vila-nova,True,1.2822,1.2822,0.0,10,0,1.2822,0.0,0.0
15526034,wPsJRp,5,operario-pr,False,1.0093,1.0093,0.0,7,0,1.0093,0.0,0.0
15526035,uOsyO,6,ponte-preta,True,0.8768,0.8768,0.0,10,0,0.8768,0.0,0.0
15526035,uOsyO,6,america-mg,False,0.934,0.934,0.0,11,0,0.934,0.0,0.0
15526037,kOseau,6,sao-bernardo,True,2.7087,2.7087,0.0,13,0,2.7087,0.0,0.0
15526037,kOseau,6,goias,False,1.5791,1.5791,0.0,16,0,1.5791,0.0,0.0
15526039,vPsJRp,6,operario-pr,True,0.5904,0.5904,0.0,21,0,0.5904,0.0,0.0
15526039,vPsJRp,6,fortaleza,False,0.6646,0.6646,0.0,12,0,0.6646,0.0,0.0
15526040,bPswP,6,ceara,True,1.4612,1.4612,0.0,8,0,1.4612,0.0,0.0
15526040,bPswP,6,vila-nova,False,1.9869,1.4118,28.9,11,3,0.8366,1.1503,0.0
15526041,oWcspWc,6,atletico-go,True,1.7181,1.7181,0.0,16,0,1.7181,0.0,0.0
15526041,oWcspWc,6,avai,False,0.8996,0.8996,0.0,8,0,0.8996,0.0,0.0
15526042,JOsHPi,6,criciuma,True,1.6562,1.4615,11.8,17,6,1.2669,0.3893,0.0
15526042,JOsHPi,6,clube-de-regatas-brasil,False,1.4919,0.8415,43.6,17,11,0.1912,1.3007,0.0
15526043,jOsokeb,6,sport,True,1.5,1.5,0.0,10,0,1.5,0.0,0.0
15526043,jOsokeb,6,novorizontino,False,0.6477,0.6477,0.0,10,0,0.6477,0.0,0.0
15526044,EOscJu,6,cuiaba,True,1.0783,1.0783,0.0,17,0,1.0783,0.0,0.0
15526044,EOscJu,6,botafogo-sp,False,1.3368,1.3368,0.0,10,0,1.3368,0.0,0.0
15526045,FOsxP,6,juventude,True,0.809,0.809,0.0,8,0,0.809,0.0,0.0
15526045,FOsxP,6,londrina,False,0.4508,0.4508,0.0,13,0,0.4508,0.0,0.0
16023898,lPsAfMc,6,athletic-club,True,0.7593,0.7593,0.0,9,0,0.7593,0.0,0.0
16023898,lPsAfMc,6,nautico,False,0.8683,0.8683,0.0,15,0,0.8683,0.0,0.0
15526047,EOslP,7,botafogo-sp,True,1.1852,1.1852,0.0,10,0,1.1852,0.0,0.0
15526047,EOslP,7,nautico,False,0.9522,0.9522,0.0,14,0,0.9522,0.0,0.0
15526048,uOseau,7,sao-bernardo,True,1.6865,1.2587,25.4,11,2,0.8533,0.7884,0.0447
15526048,uOseau,7,ponte-preta,False,0.5567,0.4323,22.4,11,4,0.3868,0.0122,0.1578
15526049,yOsHPi,7,america-mg,True,0.8389,0.8389,0.0,9,0,0.8389,0.0,0.0
15526049,yOsHPi,7,clube-de-regatas-brasil,False,1.6098,1.6098,0.0,16,0,1.6098,0.0,0.0
15526050,xPsJRp,7,operario-pr,True,1.5001,1.2704,15.3,14,9,1.1207,0.2195,0.1599
15526050,xPsJRp,7,londrina,False,0.4736,0.2827,40.3,10,7,0.181,0.114,0.1786
15526051,kOsvP,7,fortaleza,True,1.7873,1.4814,17.1,17,5,1.1755,0.6118,0.0
15526051,kOsvP,7,goias,False,0.814,0.814,0.0,10,0,0.814,0.0,0.0
15526052,FOsoWc,7,atletico-go,True,1.7752,1.7752,0.0,16,0,1.7752,0.0,0.0
15526052,FOsoWc,7,juventude,False,0.3384,0.3384,0.0,5,0,0.3384,0.0,0.0
15526057,pWcsokeb,7,avai,True,1.9803,1.9803,0.0,17,0,1.9803,0.0,0.0
15526057,pWcsokeb,7,novorizontino,False,2.0259,2.0259,0.0,10,0,2.0259,0.0,0.0
15526072,jOsbP,7,sport,True,1.9871,1.9871,0.0,16,0,1.9871,0.0,0.0
15526072,jOsbP,7,ceara,False,0.5346,0.5346,0.0,10,0,0.5346,0.0,0.0
15526073,JOscJu,7,cuiaba,True,0.8541,0.8541,0.0,9,0,0.8541,0.0,0.0
15526073,JOscJu,7,criciuma,False,0.7161,0.7161,0.0,9,0,0.7161,0.0,0.0
15526074,wPsAfMc,7,vila-nova,True,1.7701,1.7701,0.0,23,0,1.7701,0.0,0.0
15526074,wPsAfMc,7,athletic-club,False,1.0447,1.0447,0.0,2,0,1.0447,0.0,0.0
15526075,jOsuO,8,ponte-preta,True,2.2672,2.2672,0.0,16,0,2.2672,0.0,0.0
15526075,jOsuO,8,sport,False,1.5217,1.5217,0.0,10,0,1.5217,0.0,0.0
15526076,EOsokeb,8,novorizontino,True,1.0607,1.0607,0.0,9,0,1.0607,0.0,0.0
15526076,EOsokeb,8,botafogo-sp,False,0.2332,0.2332,0.0,6,0,0.2332,0.0,0.0
15526078,cJusAfMc,8,athletic-club,True,0.7765,0.7765,0.0,8,0,0.7765,0.0,0.0
15526078,cJusAfMc,8,cuiaba,False,0.373,0.373,0.0,7,0,0.373,0.0,0.0
15526080,bPsoWc,8,ceara,True,2.1019,2.1019,0.0,32,0,2.1019,0.0,0.0
15526080,bPsoWc,8,atletico-go,False,1.5414,1.5414,0.0,5,0,1.5414,0.0,0.0
15526081,kOswP,8,goias,True,1.3542,1.3542,0.0,12,0,1.3542,0.0,0.0
15526081,kOswP,8,vila-nova,False,0.4635,0.4635,0.0,11,0,0.4635,0.0,0.0
15526082,vPspWc,8,avai,True,1.6004,1.6004,0.0,20,0,1.6004,0.0,0.0
15526082,vPspWc,8,fortaleza,False,0.625,0.625,0.0,9,0,0.625,0.0,0.0
15526083,yOslP,8,nautico,True,1.2699,0.7511,40.9,18,9,0.3062,0.8158,0.148
15526083,yOslP,8,america-mg,False,0.1799,0.1252,30.4,5,1,0.1069,0.0,0.073
15526084,HPisJRp,8,clube-de-regatas-brasil,True,1.3408,0.9757,27.2,15,8,0.699,0.4649,0.1769
15526084,HPisJRp,8,operario-pr,False,0.3787,0.0973,74.3,8,8,0.0,0.0106,0.3681
15526085,FOsJO,8,juventude,True,2.0911,2.0911,0.0,15,0,2.0911,0.0,0.0
15526085,FOsJO,8,criciuma,False,1.0152,1.0152,0.0,14,0,1.0152,0.0,0.0
16127067,xPseau,8,londrina,True,0.6718,0.3499,47.9,13,10,0.0783,0.4928,0.1007
16127067,xPseau,8,sao-bernardo,False,0.6936,0.6641,4.3,8,2,0.6426,0.0349,0.0161
15526086,uOsxP,9,ponte-preta,True,1.2306,0.8197,33.4,16,5,0.5817,0.3032,0.3457
15526086,uOsxP,9,londrina,False,2.4642,2.0227,17.9,19,5,1.6839,0.5751,0.2052
15526087,yOseau,9,sao-bernardo,True,1.2805,1.2805,0.0,15,0,1.2805,0.0,0.0
15526087,yOseau,9,america-mg,False,0.5464,0.5464,0.0,11,0,0.5464,0.0,0.0
